100002	0.3896
100004	0.9524
100011	0.0864
100016	0.3301
100025	0.4000
100038	0.5806
100044	0.2927
100056	0.8684
100064	1.0000
100068	0.8977
100073	1.0000
100082	1.0000
100086	1.0000
100103	0.5833
100116	0.3750
100129	0.4714
100133	1.0000
100139	0.7692
100149	1.0000
100171	1.0000
100173	0.5325
100177	0.8571
100194	0.5424
100198	0.4000
100203	0.3333
100245	0.3784
100246	0.8824
100252	0.6712
100277	1.0000
100278	0.9365
100280	0.5506
100294	0.5423
100298	0.7895
100314	1.0000
100319	0.3348
100322	0.0000
100330	0.5000
100346	0.4545
100350	0.8750
100352	1.0000
100358	0.5663
100365	0.8974
100369	0.3125
100380	0.9333
100406	0.2857
100409	0.5636
100418	0.9130
100424	0.4318
100428	0.4706
100432	0.1211
100435	0.5000
100436	0.8919
100454	0.1923
100459	0.8000
100462	0.3448
100481	0.1892
200003	0.7456
200007	0.7656
200008	1.0000
200013	0.5412
200016	0.4468
200018	0.7000
200027	0.7273
200032	0.7600
200043	0.6000
200044	1.0000
200045	0.0000
200049	0.7812
200055	0.3019
200056	0.3909
200059	0.4286
200063	0.2640
200069	0.4762
200072	0.9672
200076	0.4762
200085	1.0000
200094	1.0000
200096	0.8571
200099	0.5075
200100	0.7500
200106	1.0000
200107	0.8400
200108	1.0000
200111	0.2989
200114	1.0000
200120	0.2500
200121	0.0664
200125	0.0971
200127	0.6667
200130	0.4545
200131	0.9149
200133	1.0000
200135	1.0000
200153	0.0357
200158	1.0000
200165	1.0000
200171	0.2622
200176	1.0000
200181	0.5221
200186	0.3699
200188	0.1667
200189	1.0000
200198	0.7808
200206	0.7531
200212	0.4462
200218	0.5556
200223	0.8750
200229	0.8191
200232	0.6667
200233	0.8889
200236	0.7500
200239	0.2000
200242	0.6964
200255	0.6818
200261	0.8411
200264	0.3602
200280	0.4889
200287	0.6000
200288	0.8750
200292	0.7812
200296	0.4322
200298	1.0000
200302	0.5581
200303	1.0000
200305	0.6139
200307	0.4756
200308	0.8060
200309	0.3810
200310	1.0000
200314	0.5217
200316	0.1880
200319	0.9091
200322	0.3875
200323	0.4545
200326	0.9444
200330	0.1655
200331	0.6637
200339	0.4792
200341	1.0000
200343	0.7500
200345	0.1194
200346	0.7600
200350	0.2857
200354	0.1373
200357	0.8462
200364	0.7222
200365	0.9000
200371	0.8889
200372	0.5000
200373	1.0000
200374	1.0000
200375	0.9310
200377	0.5189
200383	0.6875
200395	0.2256
200398	0.2911
200399	0.9231
200400	0.3661
200402	1.0000
200405	0.8846
200408	1.0000
200414	1.0000
200415	0.4759
200417	0.8889
200420	1.0000
200422	0.7368
200424	0.5152
200427	0.2039
200429	0.2500
200430	0.1068
200450	0.4713
200455	1.0000
200456	0.6061
200460	1.0000
200462	0.2406
200463	0.8000
200464	0.3237
200471	0.7595
200475	1.0000
200477	0.9286
200478	1.0000
200482	0.7612
200490	1.0000
200491	0.8554
200492	0.8333
200493	0.4231
all	0.6472
